"baker","baker_age","baker_occupation","series","episode","signature_bake","show_stopper","hometown","technical","result"
"John",22,"Law student",3,10,"Italian Sausage and Roasted Vegetable Pithivier","Heaven and Hell Chiffon Cake","Wigan","2","WINNER"
"Ali",25,"Charity worker",4,1,"Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake","Saltley, Birmingham","11","IN"
"Beca",31,"Military Wives' Choir Singer",4,1,"Grapefruit Sandwich Cake","Chocolate Cherry Indulgence","Aldershot, Hampshire","8","IN"
"Christine",66,"Director of an engraving company",4,1,"Strawberry, Vanilla and Rosewater Summer Basket","Chocolate and Orange 'Fripperous' Hat Cake","Didcot, Oxfordshire","3","IN"
"Deborah",51,"Dentist",4,1,"Pineapple Cake","'Coffee Time'","Peterborough","9","IN"
"Frances",31,"Children's Clothes Designer",4,1,"Giant Jam Sandwich","Secret Squirrel Cake","Market Harborough, Leicestershire","7","IN"
"Glenn",37,"English Teacher",4,1,"Strawberries and Cream Cake","Almond and Espresso Chocolate Cake","Teignmouth, Devon","4","IN"
"Howard",51,"Council Worker",4,1,"Passion Fruit and Coconut Cake","Black Forest Revisited","Sheffield","6","IN"
"Kimberley",30,"Psychologist",4,1,"Blood Orange Cake","Chocolate, Raspberry & Basil Layer Cake","London","10","IN"
"Lucy",38,"Horticulturist",4,1,"Timperley Early Cake","Thyme 'Wildwood' Cake","Grimsby, Lincolnshire","2","IN"
"Mark",37,"Carpenter and Kitchen Fitter",4,1,"Lemon and Poppy Seed Cake","Chocolate Monster","Milton Keynes","5","IN"
"Robert",54,"Space Satellite Designer",4,1,"Pecan and Apple Cake","Raspberry Chocolate Cake","Melbourn, Cambridgeshire","1","STAR BAKER"
"Ruby",20,"History of Art and Philosophy Student",4,1,"Rhubarb and Custard Sandwich Cake","Chocolate and Ginger Night Sky Cake","Southend, Essex","12","IN"
"Toby",30,"Web Programmer",4,1,"Spiced and Iced Carrot Cake","Two Tiered Chocolate Cake","Reading, Berkshire","13","OUT"
"Ali",25,"Charity worker",4,2,"Italian Grissini","Sweet and Savoury Yin Yang Bread","Saltley, Birmingham","9","IN"
"Beca",31,"Military Wives' Choir Singer",4,2,"Fennel and Chilli Breadsticks","Five Strand Christmas Wreath","Aldershot, Hampshire","11","IN"
"Christine",66,"Director of an engraving company",4,2,"Mediterranean Breadsticks with Oregano","Double Plaited Loaf","Didcot, Oxfordshire","4","IN"
"Deborah",51,"Dentist",4,2,"Fennel & Chilli Breadsticks","Walnut Fleur Loaf","Peterborough","8","IN"
"Frances",31,"Children's Clothes Designer",4,2,"Giant Matchsticks","Sailor's Knot","Market Harborough, Leicestershire","2","IN"
"Glenn",37,"English Teacher",4,2,"Rosemary and Parmesan Grissini","Harvest Crown","Teignmouth, Devon","7","IN"
"Howard",51,"Council Worker",4,2,"Moroccan Breadsticks","Picasso Sun Bread","Sheffield","10","IN"
"Kimberley",30,"Psychologist",4,2,"Nigella Seed and Parmesan Breadsticks","Peace Bread","London","1","IN"
"Lucy",38,"Horticulturist",4,2,"Grissini with Salt","Roast Tomato Bread","Grimsby, Lincolnshire","12","OUT"
"Mark",37,"Carpenter and Kitchen Fitter",4,2,"Rosemary & Raisin Breadsticks","Sage & Garlic Plait","Milton Keynes","6","IN"
"Robert",54,"Space Satellite Designer",4,2,"Twisty Rye Bread Sticks","Tribute Loaf","Melbourn, Cambridgeshire","5","IN"
"Ruby",20,"History of Art and Philosophy Student",4,2,"Mexican Breadsticks","White Chocolate and Orange Peacock Bread","Southend, Essex","3","STAR BAKER"
"Ali",25,"Charity worker",4,3,"Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops","Saltley, Birmingham","5","IN"
"Beca",31,"Military Wives' Choir Singer",4,3,"Orange and Ginger Trifle","Limoncello and Blueberry BurstsMillionaire Shortbread","Aldershot, Hampshire","10","IN"
"Christine",66,"Director of an engraving company",4,3,"Caribbean Pina Colada Trifle","Ninety-NinersSachertorte Parcels","Didcot, Oxfordshire","4","STAR BAKER"
"Deborah",51,"Dentist",4,3,"Tropical Trifle*","Canelé Cherry and Chocolate CakesRose Cookies","Peterborough","9","OUT"
"Frances",31,"Children's Clothes Designer",4,3,"Apple and Blackberry Crumble Trifle","'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes","Market Harborough, Leicestershire","8","IN"
"Glenn",37,"English Teacher",4,3,"Raspberry and Almond Trifle","Billionaire BouchéesOrange Financiers","Teignmouth, Devon","1","IN"
"Howard",51,"Council Worker",4,3,"Caramel and Apple Trifle*","Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits","Sheffield","7","IN"
"Kimberley",30,"Psychologist",4,3,"Peach, Almond and Ginger Trifle","Chocolate Pistachio FinanciersLemon Bergamot Biscuits","London","6","IN"
"Mark",37,"Carpenter and Kitchen Fitter",4,3,"Ginger, Mango and Passion Fruit Trifle","Rose and Pistachio MacaroonsChocolate and Raspberry Bites","Milton Keynes","11","OUT"
"Robert",54,"Space Satellite Designer",4,3,"Rhubarb and Orange Trifle","Almond FriandsTurǫn Macaroons","Melbourn, Cambridgeshire","2","IN"
"Ruby",20,"History of Art and Philosophy Student",4,3,"Desert Island Trifle","Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes","Southend, Essex","3","IN"
"Ali",25,"Charity worker",4,4,"Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha","Saltley, Birmingham","8","OUT"
"Beca",31,"Military Wives' Choir Singer",4,4,"Mamgu's Cherry-Apple Tart","Moroccan Vegetable Filo Feast","Aldershot, Hampshire","2","IN"
"Christine",66,"Director of an engraving company",4,4,"Granny Rogers' Apple, Plum & Cinnamon Country Pie","Roasted Vegetable Filo Pie with Feta Cheese","Didcot, Oxfordshire","7","IN"
"Frances",31,"Children's Clothes Designer",4,4,"Peach Pie In the Sky","Cherry Tree Baklava Filo Pie","Market Harborough, Leicestershire","1","IN"
"Glenn",37,"English Teacher",4,4,"Apple & Maple Syrup Pie","Spanakopita (Walnut and Feta Cheese)","Teignmouth, Devon","9","IN"
"Howard",51,"Council Worker",4,4,"Apple Pie with Sage Pastry","Fresh Fig and Feta Filo Flan","Sheffield","5","IN"
"Kimberley",30,"Psychologist",4,4,"Pecan and Rosemary Caramel Apple Pie","Chicken, Bacon and Butternut Squash Pie","London","4","STAR BAKER"
"Robert",54,"Space Satellite Designer",4,4,"Apple and Pear Pie with Thyme","Spanakopita with St George's Mushrooms","Melbourn, Cambridgeshire","3","IN"
"Ruby",20,"History of Art and Philosophy Student",4,4,"Apple and Marzipan Pie","Rose, Almond and Raspberry Filo Pie","Southend, Essex","6","IN"
"Beca",31,"Military Wives' Choir Singer",4,5,"Chocolate, Cherry and Hazelnut Brownies","Tiered Macaron and Sugar Dough Biscuit Centrepiece","Aldershot, Hampshire","5","IN"
"Christine",66,"Director of an engraving company",4,5,"Mixed Berry and Almond Crumble Traybake","Shortbread Bavarian Clock Tower","Didcot, Oxfordshire","1","STAR BAKER"
"Frances",31,"Children's Clothes Designer",4,5,"Millionaire Banoffee Bonus","Biscuit Buttons and Beads","Market Harborough, Leicestershire","3","IN"
"Glenn",37,"English Teacher",4,5,"Apricot and Pistachio Tiffin","Shortbread and Macaron Helter-Skelter","Teignmouth, Devon","2","IN"
"Howard",51,"Council Worker",4,5,"Breakfast Traybake","Japanese Pagoda Tea Tower","Sheffield","8","IN"
"Kimberley",30,"Psychologist",4,5,"Cherry and Almond Bakewell Florentine Slice","Black and White Viennese Biscuit Stack","London","7","IN"
"Robert",54,"Space Satellite Designer",4,5,"Blueberry & Orange Traybake","Dalek","Melbourn, Cambridgeshire","4","OUT"
"Ruby",20,"History of Art and Philosophy Student",4,5,"Blackberry and Lemon Bakewell Slice","'Dropped Ice-Cream' Biscuit Centrepiece","Southend, Essex","6","IN"
"Beca",31,"Military Wives' Choir Singer",4,6,"Bara Brith","Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns","Aldershot, Hampshire","6","IN"
"Christine",66,"Director of an engraving company",4,6,"Oxford Nutty Fruit Loaf","Schnecken BunsVanilla Custard Skolebrød","Didcot, Oxfordshire","4","IN"
"Frances",31,"Children's Clothes Designer",4,6,"Chai Tea Loaf","Hot Cross BriochesRhubarb and Custard Kolaches","Market Harborough, Leicestershire","2","IN"
"Glenn",37,"English Teacher",4,6,"Devonshire Panettone","Almond and Apricot BriochesSticky Caramel Kanelbullen","Teignmouth, Devon","5","IN"
"Howard",51,"Council Worker",4,6,"Date & Hemp Yorkshire Loaf","Peachy BunsGerman Baumschnecken","Sheffield","7","OUT"
"Kimberley",30,"Psychologist",4,6,"Chai Spiced Ginger and Date Tea Loaf","Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer","London","3","IN"
"Ruby",20,"History of Art and Philosophy Student",4,6,"Citrus Tea Loaf","Twisted Swedish KanelbullarSaffron St. Lucia Buns","Southend, Essex","1","STAR BAKER"
"Beca",31,"Military Wives' Choir Singer",4,7,"Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy","Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille","Aldershot, Hampshire","1","IN"
"Christine",66,"Director of an engraving company",4,7,"Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream","Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille","Didcot, Oxfordshire","6","IN"
"Frances",31,"Children's Clothes Designer",4,7,"Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream","French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers","Market Harborough, Leicestershire","5","STAR BAKER"
"Glenn",37,"English Teacher",4,7,"Prune and Armagnac Puddingwith Boozy Butterscotch Sauce","Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille","Teignmouth, Devon","3","OUT"
"Kimberley",30,"Psychologist",4,7,"Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard","Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette","London","4","IN"
"Ruby",20,"History of Art and Philosophy Student",4,7,"Plum Jam Roly-Polywith Ginger Ice cream","Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts","Southend, Essex","2","IN"
"Beca",31,"Military Wives' Choir Singer",4,8,"Potato, Spelt and Rosemary Focaccia","Spiced Butternut Squash and Pecan 'Cheese' Cake","Aldershot, Hampshire","4","IN"
"Christine",66,"Director of an engraving company",4,8,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds","Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant","Didcot, Oxfordshire","5","OUT"
"Frances",31,"Children's Clothes Designer",4,8,"'Chelsea Flour Show' Bun Bouquet","Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)","Market Harborough, Leicestershire","3","IN"
"Kimberley",30,"Psychologist",4,8,"Wild Garlic Pesto and Parma Ham Spelt Loaf","Butternut Squash and Spice Cake Toadstool House","London","2","IN"
"Ruby",20,"History of Art and Philosophy Student",4,8,"Mango and Nigella Seed Spelt Cob","Carrot Cake and Pistachio Garden Plot","Southend, Essex","1","STAR BAKER"
"Beca",31,"Military Wives' Choir Singer",4,9,"Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets","Banoffee Opera Cake","Aldershot, Hampshire","3","OUT"
"Frances",31,"Children's Clothes Designer",4,9,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones","Great British Soap Opera Cake","Market Harborough, Leicestershire","2","IN"
"Kimberley",30,"Psychologist",4,9,"Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken","Passion Fruit and Lime Opera Cake","London","1","STAR BAKER"
"Ruby",20,"History of Art and Philosophy Student",4,9,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake","Southend, Essex","4","IN"
"Frances",31,"Children's Clothes Designer",4,10,"Rainbow Picnic Pie","Midsummer Night's Dream Wedding Cake","Market Harborough, Leicestershire","3","WINNER"
"Kimberley",30,"Psychologist",4,10,"Chicken and Pig Pie","Languages of Love Wedding Cake","London","1","Runner-up"
"Ruby",20,"History of Art and Philosophy Student",4,10,"Picnic Basket Pie","Raspberry, Lemon and Passion Fruit Wedding Cake","Southend, Essex","2","Runner-up"
"Chetna",35,"Fashion Designer",5,1,"Cardamom, Pistachio and Coffee Swiss Roll","Tiered Victoria Sponges with Lemon Curd and Raspberry Cream","Broadstairs, Kent","3","IN"
"Claire",31,"Speech Therapist",5,1,"Chocolatey Orangey Swirly Roll","Mini Chocolate and Cherry Cakes","Ashton upon Mersey, Trafford","8","OUT"
"Diana",69,"Women's Institute (WI) Judge",5,1,"Mum's Sunday Tea Lemon Curd Swiss Roll","Chocolate Ganache Surprises","Alkington, Shropshire","5","IN"
"Enwezor",39,"Business Consultant",5,1,"Raspberry and Lemon Swiss Roll","Coffee and Walnut Battenberg Squares","Portsmouth, Hampshire","9","IN"
"Iain",31,"Construction Engineer",5,1,"Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream","Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon","London/Belfast","4","IN"
"Jordan",32,"IT Manager",5,1,"Kawaii Frasier Swiss Roll","Lemon Drizzle Cakes with Blueberry and Lemon Curd","Sneinton, Nottingham","12","IN"
"Kate",41,"Furniture Restorer",5,1,"Red Velvet and White Chocolate Swiss Roll","Mini Tiered Victoria Sponges","Brighton, East Sussex","6","IN"
"Luis",42,"Graphic Designer",5,1,"Spanish Swiss Roll","Raspberry and Lemon Genoise Slices with Lemon Drizzles","Poynton, Cheshire","7","IN"
"Martha",17,"Student",5,1,"Tiramisu Swiss Roll","Mini Lemon and Thyme Drizzle Cakes","Ascot, Berkshire","2","IN"
"Nancy",60,"Retired Practice Manager",5,1,"Coffee and Hazelnut Swiss Roll","Jaffa Orange Cakes","Barton-upon-Humber, Lincolnshire","1","STAR BAKER"
"Norman",66,"Retired Naval Officer",5,1,"Black Forest Swiss Roll","Almond and Raspberry Mini Cakes","Portknockie, Moray","11","IN"
"Richard",38,"Builder",5,1,"Pistachio and Strawberry Swiss Roll","Miniature Coffee & Walnut Cakes","Mill Hill, London","10","IN"
"Chetna",35,"Fashion Designer",5,2,"Fenugreek and Carom Crackers","Day On The Beach","Broadstairs, Kent","8","IN"
"Diana",69,"Women's Institute (WI) Judge",5,2,"Parmesan Triangles","Express, First Class","Alkington, Shropshire","7","IN"
"Enwezor",39,"Business Consultant",5,2,"Pumpkin and Sunflower Savoury Biscuits","Space Adventure Moon Scene","Portsmouth, Hampshire","9","OUT"
"Iain",31,"Construction Engineer",5,2,"Za'atar and Fig Biscuits","Wild West Scene","London/Belfast","11","IN"
"Jordan",32,"IT Manager",5,2,"Sourdough, Parmesan and Chilli Biscuits","Monster Attack","Sneinton, Nottingham","6","IN"
"Kate",41,"Furniture Restorer",5,2,"Parmesan and Apple Biscuits","Tea Time","Brighton, East Sussex","4","IN"
"Luis",42,"Graphic Designer",5,2,"Black Olive and Rosemary Biscuits with Caramelised Onion Glaze","George Versus The Dragon","Poynton, Cheshire","3","IN"
"Martha",17,"Student",5,2,"Caramelised Onion and Goat's Cheese Sandwich Biscuits","Ski Village Scene","Ascot, Berkshire","5","IN"
"Nancy",60,"Retired Practice Manager",5,2,"Fennel and Rye Thins","Hansel and Gretel Scene","Barton-upon-Humber, Lincolnshire","2","IN"
"Norman",66,"Retired Naval Officer",5,2,"Farthing Biscuits","Zulu Boats at Dawn","Portknockie, Moray","10","IN"
"Richard",38,"Builder",5,2,"Rosemary Seeded Crackers","Pirates!","Mill Hill, London","1","STAR BAKER"
"Chetna",35,"Fashion Designer",5,3,"Onion and Pine Nut Rolls","Rolled and Filled Twin Loaf","Broadstairs, Kent","8","IN"
"Diana",69,"Women's Institute (WI) Judge",5,3,"Rustic Picnic Rolls","Sharing Savoury Pinwheel","Alkington, Shropshire","7","IN"
"Iain",31,"Construction Engineer",5,3,"Cranberry and Walnut Rye Bread Rolls","Moroccan Plaited with a Bessara Dip","London/Belfast","9","IN"
"Jordan",32,"IT Manager",5,3,"Rye and Spelt Bread Rolls","Strawberry Raspberry Cheesecake Brioche","Sneinton, Nottingham","10","OUT"
"Kate",41,"Furniture Restorer",5,3,"Orange and Cardamom Rye Bread Knots","Prosciutto, Olive and Coriander Bread","Brighton, East Sussex","1","IN"
"Luis",42,"Graphic Designer",5,3,"Opposites Attract Rolls","Roscón de Reyes","Poynton, Cheshire","2","STAR BAKER"
"Martha",17,"Student",5,3,"Date and Walnut Rye Rolls","Stuffed Sunflower Loaf","Ascot, Berkshire","3","IN"
"Nancy",60,"Retired Practice Manager",5,3,"Cider and Walnut Crusty Rolls","'Full English' Stromboli","Barton-upon-Humber, Lincolnshire","5","IN"
"Norman",66,"Retired Naval Officer",5,3,"Rye Bread Rolls","Chicken and Roasted Vegetable Picnic Loaf","Portknockie, Moray","4","IN"
"Richard",38,"Builder",5,3,"Rye and Cranberry Rolls","Pesto Pinwheel","Mill Hill, London","6","IN"
"Chetna",35,"Fashion Designer",5,4,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska","Broadstairs, Kent","3","IN"
"Diana",69,"Women's Institute (WI) Judge",5,4,"Orange and Lemon Curd Pots","Raspberry Ripple Alaska Swan","Alkington, Shropshire","9","IN"
"Iain",31,"Construction Engineer",5,4,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)","London/Belfast","6","OUT"
"Kate",41,"Furniture Restorer",5,4,"Chocolate and Salted Caramel Molten Puddings","Pistachio, Raspberry and Chocolate Baked Alaska","Brighton, East Sussex","7","IN"
"Luis",42,"Graphic Designer",5,4,"Pears in Puddings","Bakewell Alaska","Poynton, Cheshire","2","IN"
"Martha",17,"Student",5,4,"Peanut Butter Chocolate Fondants","Key Lime Baked Alaska","Ascot, Berkshire","1","IN"
"Nancy",60,"Retired Practice Manager",5,4,"Pistachio Puddings with Chocolate Sauce","Summer Pudding Alaska","Barton-upon-Humber, Lincolnshire","4","IN"
"Norman",66,"Retired Naval Officer",5,4,"Mini Sticky Toffee Puddings","Baked Alaska with Strawberry Surprise","Portknockie, Moray","8","IN"
"Richard",38,"Builder",5,4,"Black Forest Chocolate Fondants","Tiramisu Baked Alaska","Mill Hill, London","5","STAR BAKER"
"Chetna",35,"Fashion Designer",5,5,"Rice Custard Tart with Mangoes and Raspberries","Fusion Tiered Pies","Broadstairs, Kent","2","IN"
"Kate",41,"Furniture Restorer",5,5,"Rhubarb and Custard Tart","Rhubarb, Prune and Apple Pies","Brighton, East Sussex","3","STAR BAKER"
"Luis",42,"Graphic Designer",5,5,"Tropical Manchester Tart","Four Fruity Seasons Tower","Poynton, Cheshire","6","IN"
"Martha",17,"Student",5,5,"Pistachio, Apricot and Honey Custard Tart","Three Little Pigs Pie","Ascot, Berkshire","1","IN"
"Nancy",60,"Retired Practice Manager",5,5,"Chocolate Crusted Passion Fruit Tart","Trio of Apple Pies","Barton-upon-Humber, Lincolnshire","4","IN"
"Norman",66,"Retired Naval Officer",5,5,"Tarte au Citron","Pieful Tower","Portknockie, Moray","5","OUT"
"Richard",38,"Builder",5,5,"Fig and Orange Tart","Three Course Autumn Pie Feast","Mill Hill, London","7","IN"
"Chetna",35,"Fashion Designer",5,6,"Orange Savarin with Cinnamon Cream","Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream","Broadstairs, Kent","2","STAR BAKER"
"Kate",41,"Furniture Restorer",5,6,"Pecan, Chocolate and Sour Cherry Yeast Cake","Trio of Dobos Tortes","Brighton, East Sussex","6","IN"
"Luis",42,"Graphic Designer",5,6,"Apple and Cinnamon Kugelhopf with Honeyed Apples","The Cage on the Rocky Hill","Poynton, Cheshire","3","IN"
"Martha",17,"Student",5,6,"Dark Chocolate and Almond Liqueur Savarin","Chess-Themed Chocolate and Salted Caramel Dobos Torte","Ascot, Berkshire","4","IN"
"Nancy",60,"Retired Practice Manager",5,6,"Rum Punch Savarin with Coconut Cream and Tropical Fruits","Chocolate and Caramel Dobos Torte","Barton-upon-Humber, Lincolnshire","1","IN"
"Richard",38,"Builder",5,6,"Fruity Guglhupf with an Orange Glaze","Sugar Forest Dobos Torte","Mill Hill, London","5","IN"
"Chetna",35,"Fashion Designer",5,7,"Crispy Lentil Kachori","Chocolate and Mango & Lemon Meringue Éclairs","Broadstairs, Kent","6","IN"
"Kate",41,"Furniture Restorer",5,7,"Spinach and Paneer Spicy Samosa","Neapolitan & Lemon Meringue Éclairs","Brighton, East Sussex","4","OUT"
"Luis",42,"Graphic Designer",5,7,"Childhood Empanadas","Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)","Poynton, Cheshire","5","IN"
"Martha",17,"Student",5,7,"Mini Beef Wellingtons","Rhubarb and Custard & Maple Syrup and Bacon Éclairs","Ascot, Berkshire","3","IN"
"Nancy",60,"Retired Practice Manager",5,7,"Spicy Duck Pasties","Smoked Salmon and Horseradish & Raspberry Ripple Éclairs","Barton-upon-Humber, Lincolnshire","2","IN"
"Richard",38,"Builder",5,7,"Minted Lamb Pasties","Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)","Mill Hill, London","1","STAR BAKER"
"Chetna",35,"Fashion Designer",5,8,"Date and Walnut Swirl Bread","Chocolate Mousse Filled DoughnutsBraided Doughnuts","Broadstairs, Kent","1","IN"
"Luis",42,"Graphic Designer",5,8,"Black Forest Cherry Tree","Cocktail Doughnuts
(Mudslide & Raspberry Mojito)","Poynton, Cheshire","2","IN"
"Martha",17,"Student",5,8,"Spiced Plum Iced Bread Swirl","Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts","Ascot, Berkshire","5","OUT"
"Nancy",60,"Retired Practice Manager",5,8,"Lincolnshire Plum Braid","Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)","Barton-upon-Humber, Lincolnshire","3","IN"
"Richard",38,"Builder",5,8,"Fruit Swedish Tea Ring","Rhubarb and Custard and Toffee Apple Doughnuts","Mill Hill, London","4","STAR BAKER"
"Chetna",35,"Fashion Designer",5,9,"Chocolate Orange Baklava Masala Chai Baklava","Chocolate, Orange & Nut EntremetsCappuccino Entremets","Broadstairs, Kent","4","OUT"
"Luis",42,"Graphic Designer",5,9,"Indian Rose BaklavaHalwa Baklava Rolls","Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges","Poynton, Cheshire","1","IN"
"Nancy",60,"Retired Practice Manager",5,9,"Coffee and Chocolate BaklavaBreakfast Baklava","Raspberry NonnettesLime and Passion Fruit Entremets","Barton-upon-Humber, Lincolnshire","3","IN"
"Richard",38,"Builder",5,9,"Rose and Pistachio BaklavaWalnut and Almond Baklava","Hazelnut Mocha EntremetsPink Grapefruit Entremets","Mill Hill, London","2","STAR BAKER"
"Luis",42,"Graphic Designer",5,10,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese","Village in Chocolate","Poynton, Cheshire","2","Runner-up"
"Nancy",60,"Retired Practice Manager",5,10,"Apple and Lemon KitesRaspberry and Almond Croissants","Red Windmill","Barton-upon-Humber, Lincolnshire","1","WINNER"
"Richard",38,"Builder",5,10,"Pear Pain au ChocolatPain Au Lait","Mill on the Hill","Mill Hill, London","3","Runner-up"
"Alvin",37,"Nurse",6,1,"Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau","Bracknell, Berkshire","2","IN"
"Dorret",53,"Accountant",6,1,"Madeira Cake with Candied Lemons","Enchanted Forest Gâteau","Penwortham, Lancashire","5","IN"
"Flora",19,"Art gallery assistant",6,1,"Blood Orange Madeira Cake","Black Forest Gâteau","Dunkeld, Perth and Kinross","6","IN"
"Ian",41,"Travel photographer",6,1,"Somewhere West of Madeira Cake","Black Forest Cherry Tree","Great Wilbraham, Cambridgeshire","8","IN"
"Marie",66,"Retired",6,1,"Zingy Citrus Madeira Cake","A Walk in the Black Forest","Auchterarder, Perthshire","3","STAR BAKER"
"Mat",37,"Fire fighter",6,1,"Gin and Tonic Madeira Cake","Black Forest Gateau","London","7","IN"
"Nadiya",30,"Full-time mother",6,1,"Orange and Green Cardamom Madeira Cake","Quadruple Chocolate Black Forest Gâteau","Leeds / Luton","12","IN"
"Paul",49,"Prison governor",6,1,"Lemon, Ginger and Caraway Seed Madeira Cake","Black Forest Chocolate Creation","Swansea, Wales","10","IN"
"Sandy",49,"Child welfare officer",6,1,"Madeira Cake with Almond Liqueur and Chopped Apricots","Black Forest Gâteau","Yeadon, West Yorkshire","9","IN"
"Stu",35,"Professional musician",6,1,"Marley Madeira Cake","Purple Forest Gâteau","Guildford, Surrey","11","OUT"
"Tamal",29,"Trainee anaesthetist",6,1,"Pistachio and Rose Madeira Cake","Black Forest Gâteau in a Chocolate Shell","Manchester","4","IN"
"Ugnė",32,"PA and administrator",6,1,"Lemon and Thyme Madeira Cake","Falling Cup Gâteau","Woodford, London / Vilkaviškis, Lithuania","1","IN"
"Alvin",37,"Nurse",6,2,"Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps","Bracknell, Berkshire","6","IN"
"Dorret",53,"Accountant",6,2,"Almond and Apricot Biscotti with Amber Sugar Crystals","Box of Frogs","Penwortham, Lancashire","1","IN"
"Flora",19,"Art gallery assistant",6,2,"Wedding Biscotti","Honey and Earl Grey Tea Box","Dunkeld, Perth and Kinross","2","IN"
"Ian",41,"Travel photographer",6,2,"Orange, Rosemary and Almond Biscotti","Sandwich de la Confiture","Great Wilbraham, Cambridgeshire","3","STAR BAKER"
"Marie",66,"Retired",6,2,"Biscotti Italiano","Russian Box","Auchterarder, Perthshire","11","OUT"
"Mat",37,"Fire fighter",6,2,"Pistachio, Cranberry and White Chocolate Biscotti","Gingerbread Fire Engine","London","5","IN"
"Nadiya",30,"Full-time mother",6,2,"Coconut, Fennel and Pistachio Biscotti","Box of Fortunes","Leeds / Luton","9","IN"
"Paul",49,"Prison governor",6,2,"Chocolate, Hazelnut and Fig Biscotti","Memory Box","Swansea, Wales","10","IN"
"Sandy",49,"Child welfare officer",6,2,"Chocolate Chunk and Hazelnut Biscotti","Sundried Tomato Cheese Biscuit Box","Yeadon, West Yorkshire","4","IN"
"Tamal",29,"Trainee anaesthetist",6,2,"Cinnamon, Maple and Cranberry Biscotti","Chessboard Box","Manchester","8","IN"
"Ugnė",32,"PA and administrator",6,2,"White Wine Biscotti","Baby Climbing into the Cookie Box","Woodford, London / Vilkaviškis, Lithuania","7","IN"
"Alvin",37,"Nurse",6,3,"Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia","Bracknell, Berkshire","4","IN"
"Dorret",53,"Accountant",6,3,"Walnut and Stilton Soda Breads","Unmade Bread","Penwortham, Lancashire","6","OUT"
"Flora",19,"Art gallery assistant",6,3,"Fig and Hazelnut Rye Breads","Herb Couture","Dunkeld, Perth and Kinross","2","IN"
"Ian",41,"Travel photographer",6,3,"Wild Garlic Pesto Soda Breads","Flour Power","Great Wilbraham, Cambridgeshire","1","STAR BAKER"
"Mat",37,"Fire fighter",6,3,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads","Curry Inspired Brighton Pavilion","London","8","IN"
